mode,seed,method,episode,scope,version,x,action,reward,certified,wrong_certificate,phase,live_hypotheses
interleaved,0,stateless,0,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,1,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,2,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,3,public-system-0,v1,3,0,0,0,0,early,0
interleaved,0,stateless,4,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,5,public-system-0,v1,4,0,0,0,0,early,0
interleaved,0,stateless,6,public-system-0,v1,1,0,0,0,0,early,0
interleaved,0,stateless,7,public-system-0,v1,4,0,0,0,0,early,0
interleaved,0,stateless,8,public-system-0,v1,1,0,0,0,0,early,0
interleaved,0,stateless,9,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,10,public-system-0,v1,1,0,0,0,0,early,0
interleaved,0,stateless,11,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,12,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,13,public-system-1,v1,4,0,0,0,0,early,0
interleaved,0,stateless,14,public-system-1,v1,6,0,0,0,0,early,0
interleaved,0,stateless,15,public-system-1,v1,2,0,0,0,0,early,0
interleaved,0,stateless,16,public-system-1,v1,4,0,0,0,0,early,0
interleaved,0,stateless,17,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,18,public-system-1,v1,6,0,0,0,0,early,0
interleaved,0,stateless,19,public-system-1,v1,4,0,0,0,0,early,0
interleaved,0,stateless,20,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,21,public-system-1,v1,2,0,0,0,0,early,0
interleaved,0,stateless,22,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,23,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,24,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,25,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,26,public-system-2,v1,5,0,0,0,0,early,0
interleaved,0,stateless,27,public-system-2,v1,2,0,0,0,0,early,0
interleaved,0,stateless,28,public-system-2,v1,3,0,0,0,0,early,0
interleaved,0,stateless,29,public-system-2,v1,4,0,0,0,0,early,0
interleaved,0,stateless,30,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,31,public-system-2,v1,2,0,0,0,0,early,0
interleaved,0,stateless,32,public-system-2,v1,3,0,0,0,0,early,0
interleaved,0,stateless,33,public-system-2,v1,2,0,0,0,0,early,0
interleaved,0,stateless,34,public-system-2,v1,4,0,0,0,0,early,0
interleaved,0,stateless,35,public-system-2,v1,5,0,0,0,0,early,0
interleaved,0,stateless,36,public-system-3,v1,1,0,1,0,0,early,0
interleaved,0,stateless,37,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,38,public-system-3,v1,3,0,0,0,0,early,0
interleaved,0,stateless,39,public-system-3,v1,3,0,0,0,0,early,0
interleaved,0,stateless,40,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,41,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,42,public-system-3,v1,2,0,0,0,0,early,0
interleaved,0,stateless,43,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,44,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,45,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,46,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,47,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,48,public-system-0,v1,5,0,0,0,0,early,0
interleaved,0,stateless,49,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,50,public-system-0,v1,3,0,0,0,0,early,0
interleaved,0,stateless,51,public-system-0,v1,5,0,0,0,0,early,0
interleaved,0,stateless,52,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,53,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,54,public-system-0,v1,5,0,0,0,0,early,0
interleaved,0,stateless,55,public-system-0,v1,5,0,0,0,0,early,0
interleaved,0,stateless,56,public-system-0,v1,0,0,0,0,0,early,0
